inmobiliaria,precio canon,administracion,zona,ciudad,habitaciones,baños,metros_cuadrados,descripcion
,2500000.0,0.0,Chapinero,Bogotá,1,1,51.0,"Hermoso apartamento duplex de 51 mts2, sala comedor con chimenea y balcón, cocina integral, alcoba con walk-in closet, baño, zona de lavandería, parqueadero cubierto, Edificio domotizado, cerca a Cra. 7, calle 53, hospital militar, universidades , transporte publico , etc........."
,2700000.0,0.0,Chapinero,Bogotá,2,1,60.0,"Por favor Tenga en cuenta que la propiedad NO cuenta con GARAJE, ASCENSOR y está en un edificio AUTOMATIZADO. Descubra este encantador apartamento en arriendo, estratégicamente ubicado en el corazón de Quinta Camacho, a menos de media cuadra del reconocido Astor Plaza. Situado en un cuarto piso con vista exterior, este hogar ofrece un ambiente acogedor y luminoso. Cuenta con dos habitaciones, una espaciosa principal y una mediana, ideales para su comodidad. La cocina abierta se integra armoniosamente con la sala comedor, que además incluye una chimenea, creando un espacio perfecto para el entretenimiento y el relax. Disfrute de una terraza privada, ideal para momentos al aire libre. El apartamento dispone de un baño completo. Tenga en cuenta que la propiedad no cuenta con garaje."
,5500000.0,2500000.0,Chapinero,Bogotá,2,2,195.0,"Acogedor apartamento para arriendo con una excelente zona social con una sala, estudio en un mismo ambiente, comedor independiente, cocina integral a gas, zona de lavandería independiente, dos alcobas amplias cada una con su baño privado. ***"
,1500000.0,0.0,Chapinero,Bogotá,2,1,52.0,"Magnifico apartamento en el barrio Ricaurte, 36 M2 aprox, excelente ubicación, cerca de la av. principal como lo es la av. Calle 6, frente al puente del Cra 30 comuneros sector muy comercial con excelentes vías de acceso, colegios, hospitales cerca al sector, con 2 habitación baño sala comedor cocina y zona de lavado, con espacios amplios y bien iluminados. Para más información comunicarse al número ***o al correo electrónico yolanda.paradainmobiliariabogota.com. el equipo de inmobiliaria Bogotá está comprometido a brindar una excelente experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad ***"
,3150000.0,0.0,Chapinero,Bogotá,1,1,50.0,"Excelente apartamento de 50 m² más terraza privada de 20 m² con vista exterior. Cuenta con 1 habitación con baño privado y Vestier, zona social, cocina tipo americana, cuarto de ropas y 1 parqueadero. Se entrega con cortineria instalada y calentador a gas. El canon incluye administración y parqueadero. El edificio cuenta con zona club house: piscina, gimnasio, sauna, zona de masajes, salón comunal, sala de cine, coworking, salas de reuniones, terraza con BBQ, parque infantil, parque para mascotas y parqueadero para visitantes. Vigilancia 24/7. espacios incluidos en la administracion. Ubicación estratégica cerca de la Calle 72, rodeado de zona empresarial, comercio y restaurantes. A pocos minutos de la Universidad Pedagógica, Universidad Sergio Arboleda y Universidad Javeriana. Ideal para profesionales y estudiantes que buscan comodidad, ubicación y excelentes amenidades. para mayor información contactar mediante whatsapp."
,15400000.0,3600000.0,Chapinero,Bogotá,3,5,232.0,"VENTA / ARRIENDO – Apartamento en Rosales Amplio apartamento semiremodelado, ubicado en uno de los sectores más exclusivos y verdes de Rosales, con vista directa a los árboles y excelentes espacios sociales. Área: 231,91 m² Precio de venta: $2.200.000.000 Canon de arriendo: $15.400.000 mensuales Administración: $3.600.000 Estrato: 6 Piso: 2 Año de construcción: 1998 Características del apartamento: 3 habitaciones, cada una con baño privado Hall de habitaciones Baño social Estar o estudio Sala y comedor amplios con vista verde Cocina cerrada Zona de lavandería Cuarto y baño de servicio Jardín amplio con desniveles, parrilla y mesón Espacios exteriores ideales para comedor social, sala y zona de niños 4 parqueaderos (2 en línea) Depósito amplio Edificio: Vigilancia 24 horas Propiedad ideal para quienes buscan amplitud, privacidad y contacto con la naturaleza en una ubicación privilegiada de Bogotá. Ref PLT-07X11"
,2900000.0,0.0,Chapinero,Bogotá,1,1,65.0,"ÚNICAMENTE SE ALQUILA AMOBLADO This apartment is located in what usted to be a music shop. Completely remodelled and refurbished, this bohemian fully furnished apartment is available to rent from 6 months onward (except for linen and towels). It has access to a private 20 m2 terrace. This building has no carpark for cars (has a spot for motorbike or a bicycle) and has no elevator. Note: services are extra. No parties and quiet hours from 10 pm- 8 am. Este apartamento está ubicado en lo que solía ser una tienda de música. Bohemio apartamento completamente remodelado en Chapinero alto que se arrienda amoblado y dotado (excepto lencería y toallas). Hay un espacio de loft para arrendar donde puedes montar un estudio u oficina (escríbeme para más información, cuesta 1.9 millones extra el mes). Cuenta con salida a terraza privada de 20m2. No tiene parqueaderos para carros (tiene uno para moto o bicicleta) y tampoco cuenta con ascensor. Nota: servicios son extra. No se aceptan fiestas. Tiempos de silencio entre 10 pm-8 am."
,5000000.0,1500000.0,Chapinero,Bogotá,3,3,130.0,"Arriendo apartamento en Rosales, de 130mts, clásico, 2 alcobas y estudio que puede ser 3era alcoba, sala comedor, cocina, 2 parqueaderos. No tiene deposito. Rodeado de balcones, precio mas administración. Excelente ubicación en la calle 72a con 5, cerca a supermercados, gimnasio, restaurantes, entre otros."
Gestiones Inmobiliarias F. T. SAS,3880000.0,620000.0,Chapinero,Bogotá,3,2,75.0,"Apartamento En Arriendo En Chapinero Central, Bogotá Moderno apartamento AMOBLADO con terraza ubicado en Chapinero Central. El apartamento cuenta en el primer piso con zona social en un ambiente con doble altura y cocina abierta. En el segundo piso cuenta dos terrazas y con tres habitaciones, la principal con baño, las otras dos habitaciones comparten baño completo. La tercera habitación actualmente está adaptada como estudio. En el segundo piso cuenta con zona de lavandería independiente. El apartamento cuenta con dos parqueaderos."
Houm,4500000.0,0.0,Chapinero,Bogotá,2,2,163.0,"Apartamento En Arriendo En Chapinero, Bogotá [ARR] ID HOUM: 161634 Entérate de todos los beneficios al arrendar con nosotros: • Asistencia e intermediación con el propietario • Firma tu contrato online • Arrienda sin burocracia, sin papeleos ni notarías Departamento en arriendo, ubicado en el barrio Pardo Rubio, con una superficie construida de 163.00 m² y superficie total de 163.00 m². Sus principales características son: • No amoblado • 2 dormitorios • 2 baños • Admite mascotas • 2 parqueaderos • Año de construcción: 2020 • Bodega Si arriendas con nosotros, te brindamos asesoría personalizada durante todo el proceso. Requisitos para arrendar con nosotros: • Arrienda sin codeudor*, fácil, rápido y seguro • Demuestra un ingreso mensual neto de al menos 2.5 veces el valor del arriendo (los ingresos mensuales se pueden complementar por las personas que vivirán en este inmueble) • Completa tu información básica y mándanos tus extractos bancarios o documentos que demuestren tus ingresos • No debes tener reportes negativos en centrales de crédito IMPORTANTE: • Te invitamos a agendar una visita a esta propiedad • Si tienes alguna duda por favor puedes solicitar más información desde los portales como también contactarte directamente con nosotros Más que una inmobiliaria, somos Houm. *Aplican T&C"
Inmovibe,5000000.0,0.0,Chapinero,Bogotá,2,1,70.0,"Apartamento En Arriendo En Chapinero, Bogotá ARRIENDO APARTAMENTO AMOBLADO – EL NOGAL Canon: $5.000.000 (administración incluida) Área: 70 m² Piso alto Apartamento amoblado con vista espectacular a los cerros y a la carrera novena, ubicado en uno de los sectores más exclusivos de Bogotá. Distribución: 2 habitaciones 1 baño Walking closet Cocina abierta Sala comedor 1 parqueadero Zona de lavandería en el edificio. Ideal para pareja o profesionales que busquen ubicación estratégica, vista privilegiada y apartamento listo para habitar. Ref Arq"
Eliana Galan,1650000.0,0.0,Chapinero,Bogotá,1,1,24.65,"Apartamento En Arriendo En Marly, Bogotá Apartaestudio para estrenar, con excelentes acabados, 6 piso, espacio abierto, cocina, baño, iluminado, estrato 4. Cerca a vías de acceso, parque, estaciones de transmilenio, paraderos SITP, zona bancaria, zona comercial y gastronomica, Almacenes de cadena y Universidades."
Inmobiliaria Prego SAS,3200000.0,0.0,Chapinero,Bogotá,2,2,65.0,"Apartamento En Arriendo En Chapinero Alto, Bogotá Hoy te traemos un lindo y cogedor apartamento en Chapinero Alto, cerca a la zona G, sector de Nueva Granada, amplio, iluminado y con un ambiente tranquilo, ideal para quienes buscan comodidad, ubicación, cerca a universidades, zonas gastronómicas, y excelentes vías; el apartamento consta de sala comedor amplia, balcón, cocina integral, zona de ropas, dos habitaciones la principal con walking closet y baño privado, un segundo baño de habitaciones, parqueadero cubierto, el edificio te ofrece, salón social, gym, sauna, jacuzzi, bicicletero, vigilancia 24/7 Ven y lo conoces te encantará!!"
Rentabien S.A.S,1100000.0,301200.0,Chapinero,Bogotá,1,1,22.0,"Apartamento En Arriendo En Chapinero Central, Bogotá Aparta-estudio tipo loft en arriendo, ubicado en tercer piso con ascensor, cuenta con un closet, un baño, pisos en madera laminada, cocina integral eléctrica, calentador eléctrico, zona de lavandería, el apartamento es vista exterior, tiene cortinas en tela, el edificio tiene terraza BBQ, gimnasio."
,2400000.0,0.0,Chapinero,Bogotá,1,1,21.0,"Apartamento En Arriendo En Chapinero, Bogotá Este acogedor APARTAESTUDIO DE UN SOLO AMBIENTE Y CON UNA FABULOSA TERRAZA DE 10 M2 se encuentra en Chapinero Alto, recién remodelado, es ideal para quienes buscan independencia y comodidad en una de las zonas más dinámicas de la ciudad. Ubicado en un segundo piso, la propiedad cuenta con un diseño funcional, closet amplio y cocina practica. Cuenta con seguridad 24 horas, proporcionando tranquilidad. No cuenta con estacionamiento para carro, sin embargo, su ubicación estratégica permite acceder fácilmente a opciones de transporte público y disfrutar de la amplia oferta de servicios, restaurantes y entretenimiento con las que cuenta la zona. Se alquila con lavadora. El edificio cuenta con terraza, un sencillo salón comunal y gimnasio. No pierdas esta oportunidad de vivir en uno de los barrios más deseados de Bogotá."
,8800000.0,0.0,Chapinero,Bogotá,2,3,135.0,"Apartamento En Arriendo En Los Rosales, Bogotá ARRIENDO lindo y acogedor apto en ROSALES (circunvalar con 78), exterior con vista verde al occidente, piso 4 ? $ ***con admin incluida * 135 metros * ⁠2 alcobas * ⁠3 baños * ⁠Family Room * ⁠Sala comedor con chimenea y salida a balcón * ⁠Cocina semi abierta * ⁠ Zonq de lavandería independiente * ⁠Cuarto y baño de servicio * ⁠2 parqueaderos * ⁠Depósito * ⁠18 años de construido Edificio con doble portería, vigilancia 24/7, gimnasio, terraza, sala de juntas, salón para escoltas, planta eléctrica, caldera y parqueaderos de visitantes"
,5372300.0,627700.0,Chapinero,Bogotá,2,2,88.0,"Apartamento En Arriendo En Los Rosales, Bogotá Bonito apartamento AMOBLADO remodelado ubicado en Rosales abajo de la circunvalar. El apartamento cuenta con amplia zona social con chimenea, comedor, cocina abierta, con zona de lavandería independiente, amplio estudio, dos habitaciones, la prinicipal con baño, baño auxiliar completo para la otra habitación. El apartamento cuenta con parqueadero independiente y depósito. El edificio cuenta con salón comunal, parque infantil y vigilancia 24 horas. (Precio Administración 2025, sin reajuste todavía)."
,5000000.0,0.0,Chapinero,Bogotá,3,3,100.0,"Apartamento En Arriendo En Chapinero Alto, Bogotá Descubre la elegancia y comodidad en este exclusivo apartamento en arriendo ubicado en una de las zonas más prestigiosas de la ciudad Chapinero Alto. Tipo Duplex con 3 habitaciones amplias y luminosas, 3 baños modernos y funcionales, y 100 metros cuadrados distribuidos de manera inteligente para aprovechar al máximo cada espacio. Además, cuenta con 1 parqueadero (cubierto) para tu conveniencia. Disfruta de acabados de alta calidad y una vista panorámica que te dejará sin aliento. Ubicado en Conjunto residencial (ascensor, zona para niños, salón comunal, plazoleta, zonas verdes, canchas mixtas) Vive la experiencia de lujo que mereces en este inmueble único. ¡No dejes pasar esta oportunidad!"
,12000000.0,0.0,Chapinero,Bogotá,8,6,291.0,"Apartamento En Arriendo En Chapinero, Bogotá Ofrecemos para venta o alquiler este grandioso apartamento, a pocos metros de la zona financiera de Bogotá. Ubicado en la tercera planta, a donde accedes a través de una linda escalera, cuenta con vista exterior a la ciudad. Se trata de un edificio de conservación arquitectónica, en donde encuentras prácticamente dos apartamentos, con un total de 8 habitaciones. Es perfecto para familias grandes o para aquellos que buscan mucho espacio para vivir y trabajar. El apartamento presume de una extensiva área de sala comedor con chimenea; ideal para las reuniones con amigos o para los ratos de tranquilidad en familia. La cocina está equipada con lo necesario. Incluye además una zona de lavandería separada. Aunque no cuenta con parqueaderos individuales, se ofrecen tres espacios en línea para cubrir las necesidades de estacionamiento. No lo pienses más: este apartamento representa una muy buena oportunidad en uno de los barrios más codiciados de Bogotá. ¡No la pierdas! Pide tu visita ya!"
,18000000.0,2000000.0,Chapinero,Bogotá,4,5,308.0,"Apartamento En Arriendo En Los Rosales, Bogotá ESPACIOS ABIERTOS te presenta Apartamento en venta ubicado en Rosales, cuenta con 308 mts. Disfrute de una amplia zona social con iluminación natural, vista exterior, terraza y balcón. Amplia zona de recibo y social con cocina integral y zona de lavado, 3,5 baños, 4 habitaciones, dos de ellas con baño privado, cuarto de servicio con baño, estudio y estar de alcobas, tres parqueaderos. Club House piscina, jacuzzi, BBQ, gimnasio, salón escoltas. Ubicado circunvalar con cl 72 , zona exclusiva de la ciudad rodeada de naturaleza. Un hogar pensado en su comodidad y las exigencias de la vida moderna. ¡contáctenos! 315 ocho cero tres noventa y nueve treinta."
,6750000.0,1750000.0,Chapinero,Bogotá,3,3,200.0,"Apartamento En Arriendo En Los Rosales, Bogotá Apartamento en Rosales, Chapinero. Ubicado en una prestigiosa zona residencial, este apartamento de 200 metros cuadrados combina el encanto del estilo clásico con amplios y confortables espacios. Ideal para familias que buscan un hogar elegante y funcional, este apartamento ofrece 3 habitaciones luminosas, un estudio perfecto para trabajar desde casa, una espaciosa sala comedor, cocina bien equipada, área de ropas y cuarto de servicio. Con 3 baños completos y dos terrazas (sur y norte) de aproximadamente 75 m², podrás disfrutar de vistas y aire fresco. Además, cuenta con calentador eléctrico, dos parqueaderos privados y un depósito adicional para almacenamiento extra. No dejes pasar la oportunidad de vivir en este magnífico apartamento, ubicado en una excelente zona residencial que ofrece tranquilidad, seguridad y fácil acceso a servicios, tiendas y transporte. Agenda tu visita hoy mismo y descubre el hogar que siempre has soñado. Zona 1"
,2500000.0,0.0,Chapinero,Bogotá,1,1,51.0,"Apartamento En Arriendo En Chapinero, Bogotá Hermoso apartamento duplex de 51 mts2, sala comedor con chimenea y balcón, cocina integral, alcoba con walk-in closet, baño, zona de lavandería, parqueadero cubierto, Edificio domotizado, cerca a Cra. 7, calle 53, hospital militar, universidades , transporte publico , etc........."
,2700000.0,0.0,Chapinero,Bogotá,2,1,60.0,"Apartamento En Arriendo En Quinta Camacho, Bogotá Por favor Tenga en cuenta que la propiedad NO cuenta con GARAJE, ASCENSOR y está en un edificio AUTOMATIZADO. Descubra este encantador apartamento en arriendo, estratégicamente ubicado en el corazón de Quinta Camacho, a menos de media cuadra del reconocido Astor Plaza. Situado en un cuarto piso con vista exterior, este hogar ofrece un ambiente acogedor y luminoso. Cuenta con dos habitaciones, una espaciosa principal y una mediana, ideales para su comodidad. La cocina abierta se integra armoniosamente con la sala comedor, que además incluye una chimenea, creando un espacio perfecto para el entretenimiento y el relax. Disfrute de una terraza privada, ideal para momentos al aire libre. El apartamento dispone de un baño completo. Tenga en cuenta que la propiedad no cuenta con garaje."
,5500000.0,2500000.0,Chapinero,Bogotá,2,2,195.0,"Apartamento En Arriendo En Los Rosales, Bogotá Acogedor apartamento para arriendo con una excelente zona social con una sala, estudio en un mismo ambiente, comedor independiente, cocina integral a gas, zona de lavandería independiente, dos alcobas amplias cada una con su baño privado. ***"
,1500000.0,0.0,Chapinero,Bogotá,2,1,52.0,"Apartamento En Arriendo En La Soledad, Bogotá Magnifico apartamento en el barrio Ricaurte, 36 M2 aprox, excelente ubicación, cerca de la av. principal como lo es la av. Calle 6, frente al puente del Cra 30 comuneros sector muy comercial con excelentes vías de acceso, colegios, hospitales cerca al sector, con 2 habitación baño sala comedor cocina y zona de lavado, con espacios amplios y bien iluminados. Para más información comunicarse al número ***o al correo electrónico yolanda.paradainmobiliariabogota.com. el equipo de inmobiliaria Bogotá está comprometido a brindar una excelente experiencia de vida excepcional para nuestros clientes desde el momento en que se unen a nuestra comunidad ***"
,3150000.0,0.0,Chapinero,Bogotá,1,1,50.0,"Apartamento En Arriendo En Chapinero, Bogotá Excelente apartamento de 50 m² más terraza privada de 20 m² con vista exterior. Cuenta con 1 habitación con baño privado y Vestier, zona social, cocina tipo americana, cuarto de ropas y 1 parqueadero. Se entrega con cortineria instalada y calentador a gas. El canon incluye administración y parqueadero. El edificio cuenta con zona club house: piscina, gimnasio, sauna, zona de masajes, salón comunal, sala de cine, coworking, salas de reuniones, terraza con BBQ, parque infantil, parque para mascotas y parqueadero para visitantes. Vigilancia 24/7. espacios incluidos en la administracion. Ubicación estratégica cerca de la Calle 72, rodeado de zona empresarial, comercio y restaurantes. A pocos minutos de la Universidad Pedagógica, Universidad Sergio Arboleda y Universidad Javeriana. Ideal para profesionales y estudiantes que buscan comodidad, ubicación y excelentes amenidades. para mayor información contactar mediante whatsapp."
,15400000.0,3600000.0,Chapinero,Bogotá,3,5,232.0,"Apartamento En Arriendo En Los Rosales, Bogotá VENTA / ARRIENDO – Apartamento en Rosales Amplio apartamento semiremodelado, ubicado en uno de los sectores más exclusivos y verdes de Rosales, con vista directa a los árboles y excelentes espacios sociales. Área: 231,91 m² Precio de venta: $2.200.000.000 Canon de arriendo: $15.400.000 mensuales Administración: $3.600.000 Estrato: 6 Piso: 2 Año de construcción: 1998 Características del apartamento: 3 habitaciones, cada una con baño privado Hall de habitaciones Baño social Estar o estudio Sala y comedor amplios con vista verde Cocina cerrada Zona de lavandería Cuarto y baño de servicio Jardín amplio con desniveles, parrilla y mesón Espacios exteriores ideales para comedor social, sala y zona de niños 4 parqueaderos (2 en línea) Depósito amplio Edificio: Vigilancia 24 horas Propiedad ideal para quienes buscan amplitud, privacidad y contacto con la naturaleza en una ubicación privilegiada de Bogotá. Ref PLT-07X11"
,2900000.0,0.0,Chapinero,Bogotá,1,1,65.0,"Apartamento En Arriendo En Chapinero Alto, Bogotá ÚNICAMENTE SE ALQUILA AMOBLADO This apartment is located in what usted to be a music shop. Completely remodelled and refurbished, this bohemian fully furnished apartment is available to rent from 6 months onward (except for linen and towels). It has access to a private 20 m2 terrace. This building has no carpark for cars (has a spot for motorbike or a bicycle) and has no elevator. Note: services are extra. No parties and quiet hours from 10 pm- 8 am. Este apartamento está ubicado en lo que solía ser una tienda de música. Bohemio apartamento completamente remodelado en Chapinero alto que se arrienda amoblado y dotado (excepto lencería y toallas). Hay un espacio de loft para arrendar donde puedes montar un estudio u oficina (escríbeme para más información, cuesta 1.9 millones extra el mes). Cuenta con salida a terraza privada de 20m2. No tiene parqueaderos para carros (tiene uno para moto o bicicleta) y tampoco cuenta con ascensor. Nota: servicios son extra. No se aceptan fiestas. Tiempos de silencio entre 10 pm-8 am."
,5000000.0,1500000.0,Chapinero,Bogotá,3,3,130.0,"Apartamento En Arriendo En Los Rosales, Bogotá Arriendo apartamento en Rosales, de 130mts, clásico, 2 alcobas y estudio que puede ser 3era alcoba, sala comedor, cocina, 2 parqueaderos. No tiene deposito. Rodeado de balcones, precio mas administración. Excelente ubicación en la calle 72a con 5, cerca a supermercados, gimnasio, restaurantes, entre otros."
